seq,latitude,longitude,altitude,accuracy,serverReceivedEpochMs,serverForwardEpochMs,phoneSendEstimatedServerEpochMs,phoneCallbackIntervalMs,geolocationAgeAtSendMs,pcReceiveLocalEpochMs,pcReceiveEstimatedServerEpochMs,monitorInterarrivalMs,phoneToServerLatencyMs,serverToMonitorLatencyMs,endToEndLatencyMs
42,37.25686242828615,127.18647069686982,147.7422026059442,20.05994991850608,1776756189569,1776756189569,1776756189502,5601,25,1776756194238,1776756189612.15,5579.699951171875,67,43.14990234375,110.14990234375
43,37.25686424107889,127.18647392230656,140.48447850901118,20.03508262341212,1776756190590,1776756190591,1776756190507,1005,31,1776756195259.4001,1776756190633.55,1021.400146484375,83,42.550048828125,126.550048828125
44,37.25687409163306,127.18645535648156,144.57493520136498,19.34634968080656,1776756191581,1776756191581,1776756191507,1000,31,1776756196250.3,1776756191624.45,990.89990234375,74,43.449951171875,117.449951171875
45,37.25683465499942,127.18640463663868,144.89619327917077,18.528939321633302,1776756192639,1776756192639,1776756192545,1038,69,1776756197308.6,1776756192682.75,1058.300048828125,94,43.75,137.75
46,37.256831270652405,127.18637432917076,145.35091696450354,16.128508843858434,1776756193624,1776756193624,1776756193542,997,66,1776756198304.2,1776756193678.3499,995.599853515625,82,54.349853515625,136.349853515625
47,37.25683037203019,127.18635814464623,145.35091696450354,15.342798077825215,1776756195134,1776756195134,1776756195065,1523,62,1776756199803.7,1776756195177.8499,1499.5,69,43.849853515625,112.849853515625
48,37.25680902690707,127.18632616716276,145.35091696450354,14.626198518857345,1776756196159,1776756196159,1776756196070,1005,67,1776756200828,1776756196202.15,1024.300048828125,89,43.14990234375,132.14990234375
49,37.25680983763821,127.18631868466348,145.35091696450354,14.160568905582751,1776756197154,1776756197154,1776756197070,1000,67,1776756201823.5,1776756197197.65,995.5,84,43.64990234375,127.64990234375
50,37.25681063347234,127.18631133965347,145.35091696450354,13.688098102077946,1776756198154,1776756198154,1776756198069,1000,67,1776756202827.6,1776756198201.75,1004.10009765625,85,47.75,132.75
51,37.25681168670244,127.18630161905287,145.35091696450354,13.036514986546324,1776756199154,1776756199154,1776756199068,999,66,1776756203825.7,1776756199199.8499,998.099853515625,86,45.849853515625,131.849853515625
52,37.25681229935083,127.18629596472321,145.35091696450354,12.642060822355191,1776756200144,1776756200144,1776756200077,1009,75,1776756204813.6,1776756200187.75,987.900146484375,67,43.75,110.75
53,37.256812808547046,127.18629126518714,145.35091696450354,12.304596089884022,1776756201154,1776756201154,1776756201067,990,65,1776756205823.9001,1776756201198.05,1010.300048828125,87,44.050048828125,131.050048828125
54,37.256812808549114,127.18629126516873,145.35091698914766,12.304599342511521,1776756202159,1776756202159,1776756202070.5,1003,68,1776756206828.4001,1776756202202.55,1004.5,88.5,43.550048828125,132.050048828125
55,37.25681324670715,127.18628722126692,145.35091698914766,12.006624726309717,1776756203139,1776756203139,1776756203066.5,996,64,1776756207808.5,1776756203178.75,980.099853515625,72.5,39.75,112.25
56,37.25681362619271,127.18628371887222,145.35091698914766,11.742442753648108,1776756204159,1776756204159,1776756204075.5,1009,73,1776756208828.6,1776756204198.85,1020.10009765625,83.5,39.85009765625,123.35009765625
57,37.25681395409695,127.18628069253815,145.35091698914766,11.509287403214515,1776756205144,1776756205144,1776756205073.5,998,71,1776756209813.8,1776756205184.05,985.199951171875,70.5,40.050048828125,110.550048828125
58,37.25681418669957,127.1862785457735,145.35091698914766,11.340991603076954,1776756206159,1776756206159,1776756206077.5,1004,75,1776756210828.2,1776756206198.45,1014.39990234375,81.5,39.449951171875,120.949951171875
59,37.256814625535796,127.18627449561242,145.35091698914766,11.016475268878871,1776756207134,1776756207134,1776756207073.5,996,71,1776756211803.7,1776756207173.95,975.5,60.5,39.949951171875,100.449951171875
60,37.256816711702726,127.18627120149968,145.35091698914766,10.24911182522041,1776756208150,1776756208150,1776756208076.5,1003,74,1776756212820.2,1776756208190.45,1016.5,73.5,40.449951171875,113.949951171875
61,37.256817249568236,127.18626460360115,145.35091698914766,9.710369443336598,1776756209164,1776756209164,1776756209073.5,997,71,1776756213834.1,1776756209204.35,1013.900146484375,90.5,40.35009765625,130.85009765625
62,37.25681768235186,127.18625929472525,145.35091698914766,9.254138629193426,1776756210169,1776756210169,1776756210074.5,1001,72,1776756214841.2,1776756210211.45,1007.099853515625,94.5,42.449951171875,136.949951171875
63,37.25681775033784,127.18625846075389,145.35091698914766,9.18041405383682,1776756211149,1776756211149,1776756211074.5,1000,72,1776756215819.1,1776756211189.35,977.900146484375,74.5,40.35009765625,114.85009765625
64,37.25681776512245,127.18625827939373,145.35091698914766,9.164307874962736,1776756212164,1776756212164,1776756212078.5,1004,76,1776756216833.8,1776756212204.05,1014.699951171875,85.5,40.050048828125,125.550048828125
65,37.25681786886666,127.18625700678271,145.35091698914766,9.050445620014017,1776756213164,1776756213165,1776756213073.5,995,71,1776756217834.3,1776756213203.1501,1000.5,90.5,38.150146484375,129.650146484375
66,37.256817926806335,127.18625629604762,145.35091698914766,8.986230084385834,1776756214159,1776756214159,1776756214076.5,1003,74,1776756218828.7,1776756214197.55,994.39990234375,82.5,38.550048828125,121.050048828125
67,37.25681793895348,127.18625614704067,145.35091698914766,8.972713877308248,1776756215159,1776756215159,1776756215073.5,997,71,1776756219829.7,1776756215198.55,1001,85.5,39.550048828125,125.050048828125
68,37.2568180070802,127.18625531134302,145.35091698914766,8.896498864072004,1776756216149,1776756216149,1776756216073.5,1000,71,1776756220818.9001,1776756216187.7502,989.2001953125,75.5,38.750244140625,114.250244140625
69,37.25683286610895,127.18641347044499,146.41754635609686,8.707241802611223,1776756217149,1776756217149,1776756217076.5,1003,74,1776756221821.3,1776756217190.1501,1002.39990234375,72.5,41.150146484375,113.650146484375
70,37.256834227779855,127.1864161756283,146.41754635609686,8.083279585423181,1776756218164,1776756218164,1776756218076.5,1000,74,1776756222834.2,1776756218203.05,1012.89990234375,87.5,39.050048828125,126.550048828125
71,37.25683484147178,127.18641739482828,146.41754635609686,7.785739368558031,1776756219164,1776756219164,1776756219074.5,998,72,1776756223835,1776756219203.95,1000.800048828125,89.5,39.949951171875,129.449951171875
72,37.25683545936497,127.18641862237477,146.41754635609686,7.474204472908466,1776756220159,1776756220159,1776756220074.5,1000,72,1776756224832.7,1776756220201.65,997.699951171875,84.5,42.64990234375,127.14990234375
