seq,latitude,longitude,altitude,accuracy,serverReceivedEpochMs,serverForwardEpochMs,phoneSendEstimatedServerEpochMs,phoneCallbackIntervalMs,geolocationAgeAtSendMs,pcReceiveLocalEpochMs,pcReceiveEstimatedServerEpochMs,monitorInterarrivalMs,phoneToServerLatencyMs,serverToMonitorLatencyMs,endToEndLatencyMs
1,37.256763298741724,127.18628612551018,149.08957532627412,16.44087526653696,1776666922050,1776666922050,1776666921979.5,,2004,1776666922394.1,1776666922096.5,NaN,70.5,46.5,117
2,37.256763298741724,127.18628612551018,149.08957532627412,16.44087526653696,1776666922050,1776666922050,1776666921996.5,17,17,1776666922415.8,1776666922118.2,21.699951171875,53.5,68.199951171875,121.699951171875
3,37.256763298741724,127.18628612551018,152.8155791409586,16.495013999999998,1776666922050,1776666922050,1776666921996.5,0,17,1776666922415.9001,1776666922118.3,0.10009765625,53.5,68.300048828125,121.800048828125
4,37.25673695880414,127.18625390621537,149.08957532627412,15.449742339630598,1776666922050,1776666922050,1776666922002.5,6,23,1776666922416.1,1776666922118.5,0.199951171875,47.5,68.5,116
5,37.256736971838826,127.1862539051525,149.08625653965302,15.48546076458925,1776666922059,1776666922059,1776666922008.5,6,9,1776666922435.2,1776666922137.5999,19.099853515625,50.5,78.599853515625,129.099853515625
6,37.25670926706866,127.18626841169397,148.64637428396335,25.86091850125807,1776666926442,1776666926442,1776666926388,4385,11,1776666926786.6,1776666926489,4351.400146484375,54,47,101
7,37.25667764864727,127.18628231344586,148.646376191312,78.87666579332671,1776666927675,1776666927675,1776666927593,1208,9,1776666928033.2,1776666927735.7498,1246.599853515625,82,60.749755859375,142.749755859375
8,37.256861983676686,127.1862091883237,146.92704205566068,28.929854858251836,1776666934130,1776666934130,1776666934042,6449,11,1776666934475,1776666934176.5498,6441.800048828125,88,46.5498046875,134.5498046875
9,37.25695413709115,127.1861458805044,146.52201783912886,22.18368195106327,1776666940581,1776666940581,1776666940452,6410,8,1776666940926.4001,1776666940627.85,6451.400146484375,129,46.85009765625,175.85009765625
10,37.2568706646494,127.1860987993142,146.5363902475506,23.695208263530432,1776666946549,1776666946549,1776666946460,6008,9,1776666946894.5,1776666946595.95,5968.099853515625,89,46.949951171875,135.949951171875
11,37.25701872940452,127.18616898663434,146.44747328425566,23.74378619252337,1776666958807,1776666958807,1776666958732,12276,11,1776666959153.6,1776666958855.05,12259.10009765625,75,48.050048828125,123.050048828125
12,37.25709138338549,127.18620513825165,146.44751333857695,29.200692127653287,1776666960039,1776666960040,1776666959940,1208,11,1776666960388.1,1776666960089.55,1234.5,99,49.550048828125,149.550048828125
13,37.25709196903996,127.18622763336136,146.5150769758864,26.926362172108455,1776666966439,1776666966439,1776666966353,6413,13,1776666966785.5,1776666966486.95,6397.39990234375,86,47.949951171875,133.949951171875
14,37.25703943143826,127.18615362168745,146.51667493943137,27.592648887932818,1776666972830,1776666972830,1776666972761,6408,11,1776666973176.5,1776666972877.95,6391,69,47.949951171875,116.949951171875
15,37.25703601390329,127.18615093129993,146.51611469151356,39.90132490123468,1776666974070,1776666974070,1776666973972,1211,9,1776666974418.2,1776666974119.65,1241.699951171875,98,49.64990234375,147.64990234375
16,37.25699258223424,127.18616154120544,146.98786564111663,12.841930025958362,1776666978429,1776666978429,1776666978348,4376,32,1776666978776.3,1776666978477.75,4358.10009765625,81,48.75,129.75
17,37.25699425228408,127.18616070257696,144.9866979917089,12.200831008471672,1776666979429,1776666979429,1776666979345,997,29,1776666979776.2,1776666979477.65,999.89990234375,84,48.64990234375,132.64990234375
18,37.25699856524192,127.18616650270334,144.75595091184178,12.612779247224406,1776666980429,1776666980429,1776666980346,1001,30,1776666980776.2,1776666980477.65,1000,83,48.64990234375,131.64990234375
19,37.25700324667375,127.18618005418509,144.6882579787574,9.467506144374518,1776666981427,1776666981427,1776666981343,997,27,1776666981776.8,1776666981478.25,1000.60009765625,84,51.25,135.25
20,37.25700696018149,127.18618469267781,144.58758304580056,8.462793346995722,1776666982459,1776666982459,1776666982392,1049,76,1776666982806.1,1776666982507.55,1029.300048828125,67,48.550048828125,115.550048828125
21,37.257023235559224,127.18620714532378,146.69520286981228,21.350094716470657,1776666996829,1776666996829,1776666996733,14341,8,1776666997176.8,1776666996878.25,14370.699951171875,96,49.25,145.25
22,37.2569805382742,127.18620676397461,147.64369499206543,33.09177542924249,1776667008819,1776667008819,1776667008739,12006,9,1776667009167.5,1776667008868.95,11990.699951171875,80,49.949951171875,129.949951171875
23,37.256991950014495,127.18620485464703,147.64369499206543,44.77072909279801,1776667012409,1776667012409,1776667012344,3605,7,1776667012757.8,1776667012459.25,3590.300048828125,65,50.25,115.25
24,37.257006207336914,127.18621027443052,146.8043836846812,42.63881763520975,1776667015319,1776667015319,1776667015250,2906,27,1776667015668.2,1776667015369.65,2910.39990234375,69,50.64990234375,119.64990234375
25,37.2570158502056,127.18620011613561,146.8043836846812,43.87849781974174,1776667017039,1776667017039,1776667016972,1722,12,1776667017388.3,1776667017089.75,1720.10009765625,67,50.75,117.75
26,37.25701063021197,127.18610146411314,146.765614448444,29.5543341715112,1776667023449,1776667023449,1776667023380,6408,14,1776667023798.8,1776667023500.25,6410.5,69,51.25,120.25
